Nome,Nota1,Nota2,Nota3,Nota4
Ana Souza,7.5,8.0,6.5,7.0
Bruno Silva,8.0,7.5,7.0,8.5
Carlos Mendes,6.5,7.0,6.0,6.5
Daniel Costa,9.0,8.5,9.0,8.0
Eduardo Lima,5.0,5.5,4.5,5.0
Fernanda Rocha,7.0,7.5,6.5,7.0
Gabriel Alves,8.5,8.0,7.5,8.0
Helena Martins,9.0,9.5,8.5,9.0
Igor Carvalho,6.5,6.0,6.5,7.0
Juliana Teixeira,7.5,8.0,7.5,7.0
Karina Santos,8.0,7.5,8.0,7.5
Leonardo Ribeiro,9.0,8.5,8.0,9.0
Mariana Gomes,6.5,6.0,6.5,6.5
Natália Duarte,7.0,7.5,7.0,7.5
Otavio Freitas,8.0,7.5,a,8.5
Paula Fernandes,5.0,5.5,4.5,5.0
Rafael Barros,7.0,6.5,7.0,6.5
Sandra Nunes,2,8.0,8.5,8.0
Tiago Batista,7.5,7.0,7.5,7.0
Vanessa Pires,9.0,9.5,8.5,9.0
William Duarte,6.5,7.0,6.5,7.0
Yasmin Monteiro,3.0,1.5,8.0,7.5
André Farias,9.0,8.5,9.0,8.5
Bianca Torres,7.5,7.0,7.5,7.0
Caio Peixoto,6.0,5.5,6.0,5.5
Débora Mota,8.5,8.0,8.5,8.0
Enzo Cardoso,7.0,7.5,7.0,7.5
Flávia Tavares,9.0,9.5,8.5,9.0
Gustavo Neves,8.0,7.5,8.0,7.5
Hugo Medeiros,6.5,6.0,6.5,6.0
Isabela Correia,7.5,7.0,7.5,7.0
João Viana,8.5,8.0,8.5,8.0
Kelly Araújo,9.0,8.5,9.0,8.5
Lucas Paiva,7.0,7.5,7.0,7.5
Marcelo Braga,5.0,4.5,5.5,5.0
Nicole Lemos,8.0,7.5,8.0,7.5
Pedro Macedo,9.0,8.5,12,9.0
Renata Cunha,7.5,7.0,7.5,7.0
Samuel Azevedo,8.5,8.0,8.5,8.0
Talita Figueiredo,7.0,7.5,7.0,7.5
Ubirajara Lopes,6.5,6.0,6.5,6.0
Valéria Antunes,8.0,7.5,8.0,7.5
Wagner Queiroz,9.0,8.5,9.0,8.5
Xavier Rezende,7.5,7.0,7.5,7.0
Yuri Santana,8.5,8.0,8.5,8.0
Zilda Ramos,6.5,6.0,6.5,6.0
Adriana Moraes,7.5,7.0,7.5,7.0
Bruna Cavalcante,8.5,8.0,8.5,8.0
Cláudio Siqueira,9.0,8.5,9.0,8.5
Denise Amaral,7.0,7.5,7.0,7.5
Elton Prado,5.5,5.0,5.5,5.0
Fabiana Sales,8.0,7.5,8.0,7.5
Gilberto Camargo,7.5,7.0,7.5,7.0
Heloisa Rangel,4.5,5.0,8.5,2.0
Ivan Moreira,9.0,8.5,9.0,8.5
Jéssica Pacheco,7.0,7.5,7.0,7.5
Kleber Matos,6.5,6.0,6.5,6.0
Larissa Peçanha,8.0,7.5,8.0,7.5
Mateus Borges,9.0,8.5,9.0,8.5
Natanael Cunha,7.5,7.0,7.5,7.0
Olga Vieira,8.5,8.0,8.5,8.0
Patrícia Aguiar,7.0,7.5,7.0,7.5
Quésia Furtado,6.5,6.0,6.5,6.0
Roberto Varela,8.0,7.5,8.0,7.5
Sérgio Teles,9.0,8.5,9.0,8.5
Tatiane Coelho,7.5,7.0,7.5,7.0
Ulisses Guerra,8.5,8.0,8.5,8.0
Viviane Bastos,7.0,7.5,7.0,7.5
Wallace Nogueira,6.5,6.0,6.5,6.0
Ximena Salgado,8.0,7.5,8.0,7.5
Yago Mendonça,9.0,8.5,9.0,8.5
Zuleica Bittencourt,7.5,7.0,7.5,7.0
Aline Ferraz,8.5,8.0,8.5,8.0
Bruno Quevedo,7.0,7.5,7.0,7.5
Cecília Brandão,6.5,6.0,6.5,6.0
Diego Lacerda,8.0,7.5,8.0,7.5
Elaine Farias,9.0,8.5,9.0,8.5
Fábio Holanda,7.5,7.0,7.5,7.0
Giovana Pacheco,8.5,8.0,8.5,8.0
Henrique Nascimento,7.0,7.5,7.0,7.5
Iara Menezes,6.5,6.0,6.5,6.0
Jonas Caldas,8.0,7.5,8.0,7.5
Kátia Mesquita,9.0,8.5,9.0,8.5
Luiz Ventura,7.5,7.0,7.5,7.0
Mônica Nery,8.5,8.0,8.5,8.0
Nilo Brandt,7.0,7.5,7.0,7.5
Orlando Guimarães,6.5,6.0,6.5,6.0
Priscila Fontes,8.0,7.5,8.0,7.5
Renato Pimentel,9.0,8.5,9.0,8.5
Sônia Paes,7.5,7.0,7.5,7.0
Túlio Rios,8.5,8.0,8.5,8.0
Ursula Chaves,7.0,7.5,7.0,7.5
Victor Abranches,6.5,6.0,6.5,6.0
Wesley Falcão,8.0,7.5,8.0,7.5
Xisto Tavares,9.0,8.5,9.0,8.5
Yara Guedes,7.5,7.0,7.5,7.0
Zeca Noronha,8.5,8.0,11,8.0
